"state","Freq","logRatio","Ratio"
"AK",939,-9.32842107957048,8.88624330988431e-05
"AL",7768,-7.21546854880758,0.00073512607061961
"AR",3193,-8.10452036606396,0.000302170126607674
"AZ",26603,-5.98445728841347,0.00251757966744252
"CA",23532,-6.10712008279439,0.00222695503267516
"CO",3950,-7.89176570088357,0.000373808957125059
"CT",145153,-4.28769292126535,0.0137365801401452
"DC",4284,-7.8105941272111,0.000405417106917406
"DE",15814,-6.50458565614787,0.0014965607210065
"FL",138647,-4.33355014518491,0.0131208836654476
"GA",35300,-5.70159831585735,0.00334062181937078
"HI",569,-9.82935612465241,5.38474168618123e-05
"IA",4324,-7.80130038001964,0.000409202514078166
"ID",4563,-7.74750097785134,0.000431820321863707
"IL",37222,-5.64858129547483,0.0035225106334453
"IN",81141,-4.86929289771663,0.00767879306078086
"KS",1423,-8.91271396068889,0.00013466585974404
"KY",4474,-7.76719841672866,0.000423397790931016
"LA",3110,-8.13085855360546,0.000294315406749097
"MA",99115,-4.66920048765443,0.00937976576846841
"MD",60240,-5.16714469630496,0.0057008231841047
"ME",24277,-6.07595187972363,0.00229745824104432
"MI",17351,-6.41183113817707,0.00164201499115871
"MN",15482,-6.52580322101408,0.00146514184157219
"MO",3840,-7.92000891319697,0.000363399087432969
"MS",4106,-7.85303196119986,0.000388572045052023
"MT",902,-9.36862203871611,8.536093147514e-05
"NC",55629,-5.24677663178325,0.00526446037364808
"ND",706,-9.6136213212855,6.68124363874156e-05
"NE",1723,-8.72141432225081,0.000163056413449741
"NH",9624,-7.00122130112422,0.000910768962878878
"NJ",968839,-2.38938283238118,0.0916862522055911
"NM",3262,-8.08314077559778,0.000308699953959985
"NV",2437,-8.37471350515353,0.000230625931269309
"NY",8260189,-0.246278532187421,0.781704464745793
"OH",23784,-6.09646819410081,0.00225080309778795
"OK",21782,-6.18439733914311,0.00206134346939191
"OR",6549,-7.38616891356069,0.000619765787395446
"PA",259177,-3.70797005382353,0.024527261792608
"RI",13179,-6.68685662613485,0.00124719702429143
"SC",21203,-6.21133859869619,0.00200654970073991
"SD",2050,-8.54764148664629,0.000194002116988955
"TN",18872,-6.32780193769123,0.00178595509844661
"TX",32635,-5.78009594770942,0.00308841906728514
"UT",1468,-8.88158034960428,0.000138924442799895
"VA",75093,-4.94675393442534,0.00710643949807394
"VT",6772,-7.35268481552571,0.000640869432316683
"WA",6941,-7.32803542343916,0.000656862777570895
"WI",4564,-7.74728184779677,0.000431914957042726
"WV",2748,-8.2546079054365,0.000260057471944218
"WY",347,-10.3239117788319,3.28384071195938e-05
