"state","Freq","logRatio","Ratio"
"AK",961,-9.14958319064572,0.000106264085381921
"AL",5828,-7.34712843230091,0.000644440259735521
"AR",2716,-8.11064211093742,0.000300325968675648
"AZ",24245,-5.92159191007656,0.00268092898031704
"CA",20100,-6.10908250556884,0.00222258909071448
"CO",3663,-7.81151983683719,0.000405041982054086
"CT",136973,-4.19001849452059,0.0151460047523599
"DC",3728,-7.79393042381053,0.000412229459213113
"DE",14643,-6.42583991506075,0.00161917273907125
"FL",111887,-4.39231288722124,0.0123720808752622
"GA",30837,-5.68108705293498,0.00340984974081404
"HI",395,-10.0386718347149,4.36777458125482e-05
"IA",7166,-7.14045470175111,0.000792391712639798
"ID",5863,-7.34114090265179,0.000648310439744228
"IL",31763,-5.65150023027757,0.00351224364618726
"IN",49126,-5.21541389441753,0.00543218466022086
"KS",1226,-8.90604548311985,0.000135566876876415
"KY",3222,-7.93980003587909,0.00035627771394438
"LA",2500,-8.19351158875972,0.000276441429193343
"MA",78650,-4.74479469112958,0.00869684736242256
"MD",50407,-5.18967226631183,0.00557383324853953
"ME",19459,-6.14149263265785,0.0021517095082693
"MI",16365,-6.31465741268073,0.00180958559549962
"MN",12901,-6.55249749289087,0.00142654835120933
"MO",2876,-8.05340188077507,0.000318018220144022
"MS",3428,-7.87782531989834,0.000379056487709912
"MT",622,-9.58461750687683,6.87786275833037e-05
"NC",47117,-5.25716845054998,0.00521003632772109
"ND",431,-9.95144950951226,4.76585023929323e-05
"NE",1626,-8.62367930950825,0.00017979750554735
"NH",9930,-6.81424184257679,0.00109802535675596
"NJ",878677,-2.33138495350594,0.0971610902717275
"NM",2936,-8.0327542098816,0.000324652814444662
"NV",2131,-8.35321096751739,0.000235638674244405
"NY",7029804,-0.25188821672992,0.777331625883631
"OH",21995,-6.01898716583319,0.00243213169404303
"OK",19688,-6.12979300754512,0.00217703154318341
"OR",3484,-7.86162126164361,0.000385248775723843
"PA",225760,-3.69032983252937,0.0249637668218756
"RI",13296,-6.52233908252078,0.00147022609702187
"SC",19529,-6.13790178033323,0.00215944986828672
"SD",691,-9.47941777584834,7.640841102904e-05
"TN",18396,-6.19766907095619,0.00203416661257629
"TX",24092,-5.9279224854524,0.00266401076485041
"UT",942,-9.16955232503964,0.000104163130520052
"VA",60951,-4.99973205795029,0.00673975262030537
"VT",7215,-7.13364012840804,0.000797809964651987
"WA",5967,-7.32355803209393,0.000659810403198671
"WI",5311,-7.44002217919361,0.000587272172178337
"WV",1688,-8.58625792446011,0.000186653252991345
"WY",300,-10.3137751249598,3.31729715032011e-05
