"Plate_Type","Freq"
"PAS",8549079
"COM",2328194
"OMT",339530
"SRF",129661
"OMS",98395
"999",66095
"IRP",61830
"TRC",29417
"MOT",27754
"OMR",22517
"APP",18761
"ORG",17590
"OML",16021
"CMB",15510
"MED",13091
"PSD",9307
"SPO",8848
"TOW",6414
"SCL",6170
"RGL",5932
"DLR",5070
"TRA",4346
"SRN",4294
"VAS",4089
"ITP",3339
"TRL",2926
"CMH",2311
"CSP",1891
"MCL",1317
"STA",1079
"PHS",1046
"HIS",895
"CBS",802
"SEM",673
"OMF",510
"AGR",421
"ORC",403
"SPC",387
"CHC",381
"CME",347
"RGC",220
"AYG",176
"HAM",170
"AGC",169
"THC",146
"SOS",130
"NYA",121
"NLM",104
"ORM",104
"LMA",103
"OMV",103
"LTR",100
"AMB",90
"STG",78
"BOB",76
"MCD",71
"ARG",68
"ATD",46
"LMB",44
"VPL",41
"OMO",40
"FPW",36
"SUP",33
"USC",33
"FAR",26
"LUA",26
"NYC",26
"LMC",25
"NYS",25
"HIR",24
"CCK",23
"ATV",16
"BOT",14
"CLG",11
"GAC",10
"HAC",9
"HSM",9
"PPH",8
"JSC",6
"GSC",5
"GSM",5
"USS",5
"JCA",4
"WUG",4
"JCL",2
"JWV",2
"SNO",2
"LOC",1
