"Location","Freq","lng","lat","radius"
"3RD AVE",11554,-73.9830681,40.7389372,107.489534374282
"Orchard St",11297,-73.441274,40.714787,106.287346377638
"Clinton St",11295,-73.7901398,43.0980513,106.27793750351
"W 26th St",11238,-73.9883097,40.7434999,106.009433542492
"W 125th St",11169,-73.9437782,40.8070562,105.683489722851
"Front St",11127,-74.0036122,40.7067802,105.484596031838
"E 55th St",11091,-73.925392,40.650407,105.313816757347
"Henry St",10957,-73.5781735,40.6538081,104.675689632311
"W 54th St",10680,-73.9815692,40.7636543,103.34408546211
"W 28th St",10634,-73.9939096,40.5734658,103.121287811974
"New Utrecht Ave",10599,-73.994273,40.642711,102.951444866014
"E 43rd St",10544,-73.9802731,40.754104,102.683981223947
"W 23rd St",10541,-73.9900799,40.5760557,102.669372258722
"W 27th St",10534,-73.9933895,40.5764243,102.635276586562
"E 47th St",10491,-73.9737345,40.7546125,102.425582741813
"Kissena Blvd",10483,-73.8151332,40.7399594,102.386522550578
"Union Tpke",10464,-73.8072051,40.7204611,102.293694820355
"E 53rd St",10457,-73.924469,40.623743,102.259473888731
"Montague St",10353,-73.994301,40.6948001,101.749692874229
"E 10th St",10286,-73.9902382,40.731233,101.419919148065
"E 18th St",10262,-73.9886291,40.7371699,101.301530097033
"E 39th St",10235,-73.941327,40.654681,101.168176814649
"164th St",10179,-73.8042699,40.7437756,100.891030324801
"E 23rd St",10173,-73.9439695,40.5838183,100.861290890014
"Cross Bay Blvd",9985,-73.8412311,40.6650104,99.9249718538864
"Ocean Pky",9913,-73.9738491,40.6506405,99.5640497368403
"E 46th St",9851,-73.9330221,40.6399119,99.252204005755
"E 40th St",9734,-73.9373977,40.6322787,98.6610358753647
"Junction Blvd",9695,-73.8694786,40.7491675,98.4631910918999
"Warren St",9598,-73.760562,42.6436882,97.9693829724368
"Bell Blvd",9584,-73.7638406,40.7521662,97.8979060041633
"Sunnyside Lot",9574,-73.9354153,40.7398242,97.8468190591805
"162nd St",9476,-73.8048758,40.7538398,97.3447481891037
"Hudson St",9448,-74.0090579,40.7172851,97.2008230417829
"E 15th St",9447,-73.9913027,40.735918,97.1956789162975
"Ludlow St",9417,-73.9877912,40.7211866,97.041228351665
"E 48th St",9360,-73.9307864,40.6372434,96.7470929795826
"E Gun Hill Rd",9333,-73.840644,40.867554,96.6074531286277
"41st St",9292,-73.9162896,40.7609429,96.3950206182871
"8TH AVE",9269,-73.9856481,40.7629156,96.2756459339536
"E 17th St",9256,-73.9888773,40.7364983,96.2081077664456
"71st Ave",9248,-73.8438498,40.7215986,96.1665222413705
"Dekalb Ave",9204,-73.9817598,40.6906042,95.9374796416917
"Southern Blvd",9185,-73.7770254,42.6247994,95.8384056628657
"E 16th St",9145,-73.9878179,40.7352924,95.6294933584823
"Morris Park Ave",9104,-73.872217,40.8416301,95.4148835350125
"11th Ave",9080,-74.0085024,40.7443704,95.2890339965728
"Bowery",9074,-73.996006,40.7163433,95.2575456328789
"Church St",9067,-76.1181071,43.1350587,95.2207960479222
"Grand Ave",9055,-73.8837649,40.7336092,95.1577637400123
"Avenue A",9021,-73.9574947,40.7617403,94.9789450352024
"E 61st St",8947,-73.916486,40.616553,94.5885828205498
"Utica Ave",8934,-73.9308408,40.679347,94.5198391873368
"Madison St",8772,-73.90027,40.706357,93.6589557917448
"Washington Ave",8613,-73.9610206,40.6636159,92.8062497895481
"Morris Ave",8577,-73.911438,40.8377844,92.6120942425988
"33rd St",8560,-73.9887001,40.7485384,92.520268049763
"Eastern Pky",8478,-73.9387715,40.6692306,92.0760555193368
"74th St",8438,-73.8872428,40.7291609,91.8585869693193
"E 32nd St",8406,-73.939683,40.612782,91.6842407396168
