"Plate_Type","Freq"
"PAS",6511094
"COM",1887869
"OMT",235273
"SRF",96764
"OMS",75041
"999",64534
"IRP",59971
"MOT",23508
"TRC",22458
"OMR",17141
"CMB",13116
"ORG",12735
"MED",12382
"OML",10563
"SPO",7050
"DLR",5132
"RGL",4285
"TOW",4233
"SRN",4082
"PSD",3617
"SCL",3599
"TRA",3559
"VAS",3081
"ITP",2550
"TRL",2488
"CMH",2347
"APP",1797
"MCL",1637
"CSP",1324
"HIS",808
"PHS",774
"CBS",718
"SEM",625
"OMF",473
"AGR",313
"ORC",286
"RGC",267
"CHC",262
"CME",245
"SPC",209
"STA",189
"LTR",138
"HAM",137
"NYA",122
"AYG",117
"THC",105
"LMA",102
"MCD",102
"AMB",90
"ORM",89
"OMV",85
"SOS",67
"BOB",60
"STG",60
"NLM",53
"USC",44
"OMO",42
"ATD",41
"VPL",41
"AGC",39
"FPW",34
"SUP",31
"LMB",30
"ARG",27
"NYS",26
"NYC",25
"CCK",24
"FAR",18
"GAC",15
"CLG",12
"HSM",12
"LMC",10
"LUA",10
"JCA",9
"BOT",8
"GSM",8
"JSC",8
"HAC",7
"HIR",7
"JCL",7
"PPH",6
"GSC",3
"HIF",2
"HOU",2
"JWV",1
"LOC",1
"USS",1
"WUG",1
