"Plate_Type","Freq"
"PAS",7993499
"COM",1839534
"OMT",450185
"OMS",108568
"SRF",88713
"IRP",56828
"999",54663
"TRC",27236
"MOT",26384
"OMR",20886
"ORG",17756
"APP",14834
"CMB",13807
"OML",12804
"MED",12801
"SPO",8416
"PSD",7825
"SCL",6717
"TOW",6361
"RGL",5356
"VAS",4223
"TRL",3101
"DLR",3030
"ITP",2955
"SRN",2868
"TRA",2832
"CMH",1491
"HIS",1055
"MCL",987
"PHS",865
"CSP",789
"STA",583
"SEM",558
"CBS",378
"LTR",355
"CHC",340
"AGR",274
"ORC",267
"SPC",265
"AYG",197
"RGC",196
"CME",189
"HAM",186
"THC",164
"AMB",160
"OMF",153
"NLM",117
"OMV",115
"SOS",112
"AGC",108
"BOB",85
"STG",82
"NYC",76
"NYA",71
"ORM",70
"LMA",66
"ARG",54
"MCD",52
"LMB",49
"CCK",37
"NYS",35
"USC",33
"SUP",30
"PPH",25
"ATD",19
"ATV",17
"CLG",16
"OMO",15
"VPL",13
"FPW",12
"GSM",11
"LUA",11
"BOT",10
"LMC",10
"JSC",9
"HIR",7
"WUG",6
"FAR",5
"HAC",5
"USS",3
"GAC",2
"JCL",2
"HOU",1
"JCA",1
"JWV",1
"LOC",1
