"state","Freq","logRatio","Ratio"
"AK",754,-9.56511324286836,7.01332718194468e-05
"AL",6891,-7.3525341195191,0.000640966016058101
"AR",2621,-8.31919440755291,0.000243792182279536
"AZ",26426,-6.00840195790215,0.00245801305185769
"CA",24260,-6.09392142837827,0.00225654267153817
"CO",4093,-7.87347213438391,0.000380710187741374
"CT",141088,-4.33336652271865,0.0131232931756792
"DC",4250,-7.83583134895785,0.000395313534791312
"DE",16325,-6.49005265673168,0.00151846904834545
"FL",144556,-4.30908335616458,0.0134458690200689
"GA",36852,-5.67584044064749,0.0034277869139128
"HI",408,-10.1792384364722,3.79500993399659e-05
"IA",4186,-7.85100470787037,0.000389360578032101
"ID",2920,-8.21116671561398,0.000271603652138972
"IL",37329,-5.66297982743257,0.00347215504475879
"IN",80749,-4.89140475376902,0.00751086414608556
"KS",1501,-8.87661877924285,0.000139615438993355
"KY",3833,-7.93910254549576,0.000356526300907082
"LA",3466,-8.03974914060076,0.000322389814490985
"MA",85547,-4.833684399383,0.00795714987312761
"MD",61800,-5.15884696743053,0.00574832387061248
"ME",21574,-6.21126144594094,0.00200670451755006
"MI",15703,-6.52889855499136,0.00146061374984187
"MN",18227,-6.37984632065138,0.00169538348203323
"MO",4454,-7.788947763059,0.000414288584461295
"MS",3599,-8.00209430279728,0.000334760802756219
"MT",1032,-9.2512516648348,9.59914277422667e-05
"NC",55806,-5.26086894140579,0.00519079226413269
"ND",608,-9.78033072891015,5.65530892124982e-05
"NE",1462,-8.90294497056659,0.000135987855968211
"NH",8752,-7.11346808621455,0.000814066836822014
"NJ",925965,-2.45191389493856,0.0861285875865969
"NM",2322,-8.44032144861847,0.0002159807124201
"NV",1846,-8.66972919581351,0.000171705596523473
"NY",8481061,-0.237159493010293,0.788865459456644
"OH",25302,-6.0518668879017,0.00235346424877406
"OK",18165,-6.38325366622101,0.00168961655517275
"OR",5483,-7.58109793547226,0.000510000967355473
"PA",285419,-3.62879205583678,0.0265482338321415
"RI",12224,-6.77934909947001,0.00113701474100918
"SC",21836,-6.19919034797466,0.00203107443428308
"SD",1865,-8.6594892787984,0.000173472880561364
"TN",17275,-6.43348996224044,0.00160683325023998
"TX",36516,-5.68499981119134,0.00339653389092695
"UT",1152,-9.14125076962048,0.000107153221665786
"VA",72626,-4.99742734745373,0.00675530371241266
"VT",7367,-7.2857397641935,0.000685241131954728
"WA",6311,-7.44045618929207,0.000587017345427757
"WI",4197,-7.84838034754272,0.000390383742475091
"WV",2545,-8.34861968189169,0.000236723046127974
"WY",411,-10.1719123963801,3.82291441880539e-05
