"Vehicle.Make","Freq"
"FORD",1248622
"TOYOT",878786
"HONDA",810460
"CHEVR",743556
"NISSA",655276
"DODGE",316499
"GMC",313671
"ME/BE",299845
"FRUEH",289634
"INTER",277444
"BMW",270968
"JEEP",213572
"HYUND",190631
"LEXUS",181642
"ACURA",161959
"VOLKS",161355
"CHRYS",156748
"LINCO",147662
"MITSU",129208
"INFIN",124514
"NS/OT",115104
"ISUZU",101554
"AUDI",99860
"MERCU",97696
"MAZDA",97347
"SUBAR",95207
"CADIL",82261
"VOLVO",72568
"KIA",68051
"HINO",65442
"",63175
"ROVER",57028
"WORKH",41213
"BUICK",38516
"PONTI",29451
"KENWO",27579
"MACK",27033
"PETER",26888
"SATUR",26602
"MINI",19440
"UD",18896
"PORSC",18469
"STERL",14971
"JAGUA",13818
"SAAB",13470
"WORK",11091
"OLDSM",9566
"SUZUK",9197
"PLYMO",9112
"UTIL",8816
"FIAT",8729
"WHITE",7080
"SMART",7022
"VESPA",6944
"VAN H",6734
"SCION",6566
"MI/F",4881
"HUMME",4240
"TRAIL",3943
"KAWAS",3725
"MCI",3469
"YAMAH",3177
"HARLE",2565
"SMITH",2402
"NAVIS",2367
"GEO",2156
"MASSA",1996
"KW",1895
"FR/LI",1840
"FONTA",1804
"PREVO",1685
"TRIUM",1622
"UPS",1618
"SPRI",1564
"CHECK",1546
"GREAT",1493
"BENTL",1394
"DUCAT",1334
"FREI",1302
"THOMA",1240
"IC",1181
"FERRA",1122
"STAR",1013
"UTILI",929
"M B",923
"WO/C",868
"FUSO",625
"GIDNY",580
"FHTL",564
"FR/L",556
"GRUMM",536
"WH",518
"DORSE",515
"MER",504
"DAEWO",481
"WO/H",446
"FRGH",427
"BL/B",392
"ROLLS",392
"HUMBE",389
"FRIEG",381
"BERTO",371
"UNIV",368
"N/S",354
"UNIFL",349
"TRLR",342
"NS",341
"PREV",329
"DIAMO",327
"SOLEC",324
"KENW",318
"AUTOC",305
"TESL",300
"GILL",298
"WO/HO",297
"FL",295
"EAST",294
"PIAGG",289
"TRL",267
"STARC",264
"VA/H",250
"FRGHT",249
"HIN",249
"JENSE",249
"FRIGH",247
"VPG",237
"WO/CH",233
"STRIC",232
"AMC",229
"FRT",227
"FT/LI",218
"THEUR",212
"WABAS",212
"FREG",211
"FRIE",209
"FRD",202
"AUSTI",201
"RO/R",192
"FRTL",191
"ANCIA",190
"SUNBE",183
"UT/M",181
"CIMC",179
"LOTUS",176
"SETR",174
