"V1","V2"
"136TH ST",8
"136th St",958
"137  AVE",1
"137 AV",5
"137 AVE",146
"137 ST",222
"137 STREET",35
"137TH AVE",5
"137TH ST",4
"137th Ave",888
"137th St",867
"138 ST",162
"138 STREET",38
"138TH AVENUE",1
"138TH ST",2
"138TH STREET",3
"138th Ave",95
"138th Pl",220
"138th St",3266
"139 AVE",28
"139TH ST",6
"139th Rd",10
"139th St",1763
"13TH AV",3
"13TH AVE",493
"13TH AVENUE",119
"13TH ST",65
"13th Ave",22626
"13th St",2346
"14 AVE",415
"14 ST",222
"140 AVE",47
"140 ST",103
"140TH ST",5
"140th Ave",221
"140th St",384
"141 AVE",34
"141 ST",85
"141 STREET",19
"141ST",3
"141TH ST",1
"141st St",3908
"142 ST",79
"142 STREET",11
"142nd St",552
"143 AVE",31
"143 STREET",18
"143RD ST",14
"143rd St",993
"144",1
"144 AV",4
"144 AVE",84
"144 DR",6
"144 PL",9
"144 ST",114
"144th Pl",269
"144th St",582
"145 AVE",80
"145 DR",27
"145 RD",20
"145 ST",114
"146 PLC",2
"146 RD",4
"146 ST",222
"146 STREET",38
"146TH ST",18
"146th Ave",231
"146th St",2778
"147 AVE",63
"147 DR",24
"147 PL",19
"147 RD",30
"147 ST",247
"147TH AVE",2
"147TH RD",3
"147TH ST",16
"147TH STREET",2
"147th Ave",343
"147th Dr",94
"147th Pl",968
"147th St",1795
"148 AV",2
"148 AVE",60
"148 DR",33
"148 ST",162
"148 STREET",47
"148S T",1
"148th Ave",943
"148th Dr",143
"148th Rd",251
"148th St",5942
"149 AVE",329
"149 AVENUE",16
"149 PL",55
"149 RD",59
"149 ST",395
"149 STREET",163
"149TH AVE",36
"149TH PLACE",1
"149TH ST",14
"149TH STREET",5
"149th Ave",1286
"149th Pl",439
"149th Rd",205
"149th St",3084
"14TH AVE",186
"14TH AVENUE",76
"14TH ST",72
"14TH STREET",22
"14th Ave",7168
"14th Rd",480
"14th St",2327
"15 AVE",276
"15 AVENUE",31
"15 DR",17
"15 FT N/E C/O 93 ST",1
"15 RD",11
"15 ST",183
"150 AVE",14
"150 C/O W 27",1
"150 HILL",1
"150 PL",21
"150 ST",435
"150 STREET",200
"150FT N/E C/O B 108",1
"150TH AVENUE",2
"150TH RD",8
"150TH ST",19
"150th Ave",267
"150th Pl",395
"150th Rd",121
"150th St",6959
"151 AVE",33
"151 AVENUE",28
"151 STREET",6
"151st St",103
"1525S MMMA",1
"152nd St",450
"153 AVE",46
"153 ST",166
"153 STREET AND",2
"153RD ST",11
"153rd St",4490
"154 ST",97
"154 STREET",17
"154th Pl",9
"154th St",650
"155 ST",142
"155th Ave",137
"155th St",847
"156",13
"156 AVE",86
"156 ST",132
"156TH ST",4
"156TH STREET",3
"156th Ave",442
"156th St",1230
"157",6
"157   AVE",1
"157 AVE",35
"157 ST",196
"157TH ST",10
"157th Ave",311
"157th St",1124
"158 PL",1
"158 ST",145
"158 STREET",15
"158th Ave",263
"158th St",422
"159 ST",150
"159th Ave",162
"159th Rd",110
"159th St",2079
"15FT E/O 3 AVE",1
"15FT FROM N/W C/O",1
"15FT S/O 24 AVE",1
"15TH",3
"15TH AVE",197
"15TH ROAD",1
"15TH ST",73
"15TH STREET",26
"15th Ave",2180
"15th St",1637
"16  AVE",1
"16 AVE",437
"16 RB",1
"16 ST",94
"160 ST",394
"160 STREET",61
"160th Ave",130
"160th St",5949
"161 PLACE",4
"161 ST",286
"161 STREET",27
"161ST ST",4
"161st Ave",353
"161st St",6331
"162 ST",362
"162 STREET",96
"162nd Ave",37
"162nd St",9476
"163 ST",184
"163 STREET",58
"163RD ST",7
"163RD STREET",4
"163rd Ave",225
"163rd St",2824
"164",7
"164 ST",385
"164 ST 30FT W/O",1
"164 ST 400FT E/O",1
"164 STREET",72
"164TH ST",33
"164th Ave",63
"164th Pl",223
"164th St",10179
"165 89TH AVE",1
"165 AVE",5
"165 ST",293
"165 STREET",52
"165th Ave",44
"165th St",5981
"166 AVE",2
"166 ST",182
"166 STREET",60
"166th Pl",476
"166th St",786
"167 ST",139
"167 STREET",29
"167th St",827
"168 PL",35
"168 PLACE",13
"168 S",1
"168 ST",239
"168 ST N/B",3
"168TH STREET",8
"168th Pl",1924
"168th St",1293
"169 ST",151
"169 STREET",27
"169th Pl",50
"169th St",1767
"16TH AVE",220
"16TH AVE COMP",1
"16TH AVENUE",37
"16TH ST",63
"16TH STREET",50
"16th Ave",5001
"16th St",1156
"17 AVE",208
"17 FT GEORGE HILL",1
"17 RD",39
"17 ST",31
"17 STREET",12
"170 ST",196
"170 STREET",32
"170th St",1206
"171st St",1192
"172 ST",116
"172 STREET",16
"172ND ST",10
"172nd St",1281
"173 ST",133
"173 ST BETWEEN THIRD",1
"173RD ST",8
"173rd St",968
"174 RD",1
"174 ST",46
"174th St",269
"175 ST",78
"175th St",1610
"176 ST",42
"176th St",674
"177 ST",51
"177TH STREET",2
"177th St",617
"178 PL",7
"178 ST",47
"178th St",955
"179 PL",39
"179 ST",61
"179th Pl",425
"179th St",916
"17TH AVE",139
"17TH ST",21
"17th Ave",1722
"17th Rd",75
"17th St",790
"18 AVE",1032
"18 AVENUE",47
"18 ST",73
"18 STREET",12
"180 ST",153
"180 STREET",36
"180th St",1129
"181 ST",47
"181ST AND ANTHONY AV",1
"181st St",649
"182 PLACE",4
"182 ST",40
"182 STREET",11
"182ND PL",1
"182nd Pl",213
