"V1","V2"
"AL","195"
"AZ","133"
"AR","922"
"CA","430"
"CO","92"
"CT","2662"
"DE","262"
"FL","2289"
"GA","478"
"ID","204"
"IL","396"
"IN","265"
"IA","2862"
"KS","65"
"KY","84"
"LA","41"
"ME","1801"
"MD","1107"
"MA","358"
"MI","498"
"MN","116"
"MS","63"
"MO","89"
"MT","50"
"NE","1012"
"NV","18"
"NH","24"
"NJ","187"
"NM","11029"
"NY","83"
"NC","38"
"ND","144216"
"OH","526"
"OK","777"
"OR","90"
"PA","1334"
"RI","181"
"SC","164"
"SD","43"
"TN","209"
"TX","498"
"UT","56"
"VT","164"
"VA","185"
"WA","187"
"WV","139"
"WI","49"
"WY","20"
