"V1","V2"
"AL","182"
"AZ","106"
"AR","642"
"CA","457"
"CO","114"
"CT","2516"
"DE","333"
"FL","3117"
"GA","920"
"ID","75"
"IL","121"
"IN","670"
"IA","1228"
"KS","67"
"KY","129"
"LA","110"
"ME","1803"
"MD","1209"
"MA","461"
"MI","320"
"MN","266"
"MS","93"
"MO","87"
"MT","46"
"NE","1185"
"NV","21"
"NH","36"
"NJ","184"
"NM","16362"
"NY","47"
"NC","53"
"ND","167371"
"OH","516"
"OK","372"
"OR","136"
"PA","5855"
"RI","212"
"SC","562"
"SD","101"
"TN","379"
"TX","688"
"UT","57"
"VT","1552"
"VA","134"
"WA","89"
"WV","109"
"WI","56"
"WY","21"
