"V1","V2"
"",6055
"1 AV",21
"1 AVE",1124
"1 AVENUE",102
"1 ST",193
"1 ST AVE",409
"1 STREET",16
"10 AV",23
"10 AVE",831
"10 AVENUE",93
"10 C/O E 17TH",1
"10 ST",190
"10 STREET",19
"100 ST",427
"100 STREET",34
"1000FT NORTH OF 1320",2
"100ST ST",1
"100th Ave",278
"100th Dr",30
"100th St",2272
"101 AVE",409
"101 AVENUE",43
"101 ST",301
"101AVE",11
"101st Ave",7665
"101st St",2039
"102  ST",1
"102 ROAD",1
"102 ST",454
"102 STREET",51
"102ND STREET",7
"102nd Ave",400
"102nd Rd",101
"102nd St",4337
"103 AVE",125
"103 AVENUE",6
"103 DRIVE",1
"103 ST",305
"103 STREET",52
"103rd Ave",912
"103rd Dr",4
"103rd Rd",82
"103rd St",5210
"104 ST",358
"104 STREET",26
"104th Ave",465
"104th St",4097
"105 AVE",38
"105 ST",139
"105ST",2
"105th Ave",445
"105th St",1183
"106 ST",157
"106th Ave",340
"106th St",1150
"107 AVE",171
"107 ST",213
"107 STREET",21
"107TH ST",4
"107th Ave",1321
"107th St",1327
"108 ST",1139
"108 STREET",235
"108TH ST",18
"108th Ave",443
"108th Dr",70
"108th Rd",18
"108th St",8653
"109 AVE",143
"109 ST",159
"109th Ave",922
"109th Dr",60
"109th Rd",165
"109th St",1395
"10AVE",27
"10FT FROM S/W C/O",1
"10FT WEST 26ST",1
"10TH AVE",1249
"10TH AVENUE",201
"10TH ST",146
"10th Ave",22441
"10th St",4234
"11 ALTSYINE AVE",1
"11 AV",18
"11 AVE",576
"11 AVENUE",71
"11 ST",178
"110 AVE",111
"110 AVENUE",8
"110TH ST",9
"110th Ave",803
"110th Rd",135
"110th St",2472
"111 AVE",197
"111 ST",337
"111st St",362
"111th Ave",789
"111th Rd",94
"111th St",1311
"112 AVE",88
"112 ST",205
"112th Ave",286
"112th Pl",91
"112th Rd",158
"112th St",2372
"113 AVE",89
"113 AVENUE",4
"113th Ave",234
"113th Dr",58
"113th St",1887
"114 ST",116
"114th Ave",108
"114th Dr",81
"114th Pl",107
"114th Rd",174
"114th St",1874
"115 AVE",106
"115 RD",26
"115 ST",78
"115th Ave",485
"115th Ct",18
"115th Dr",98
"115th Rd",183
"115th St",1905
"116 AVE",136
"116 DR",8
"116 RD",32
"116 RD AND195 ST",1
"116 ST",169
"116 STREET",24
"116th Ave",460
"116th Dr",75
"116th St",2335
"117 ST",143
"117 STREET",23
"117th Rd",81
"117th St",1835
"118 AVE",45
"118 ST",176
"118 STREET",37
"118th Ave",245
"118th Rd",172
"118th St",2696
"119 AVE",78
"119 RD",38
"119 ST",26
"119th Ave",262
"119th Rd",142
"119th St",229
"11ST AVENUE",1
"11TH AV",18
"11TH AVE",507
"11TH ST",98
"11th Ave",13448
"11th Rd",48
"11th St",5145
"12 AVE",328
"12 ST",226
"12 STREET",22
"120 AVENUE",6
"120 ST",168
"120th Ave",419
"120th Rd",34
"120th St",2315
"121 ST",152
"121st Ave",170
"121st St",2067
"122 ST",76
"122 STREET",19
"1229",1
"122nd Ave",168
"122nd Pl",103
"122nd St",956
"123 ST",157
"123 STREET",40
"123rd Ave",98
"123rd St",1615
"124 ST",179
"124th Pl",74
"124th St",1883
"125 AV",2
"125 AVE",47
"125 ST",238
"125 STREET",33
"125th St",1274
"126 ST",283
"126th Ave",49
"126th Pl",77
"126th St",1508
"127 ST",267
"127 STREET",27
"127TH",3
"127th Ave",657
"127th St",1507
"128th Ave",108
"128th St",772
"129",2
"129 ST",155
"129 STREET",24
"129th Ave",153
"129th St",994
"12TH AVE",208
"12TH AVENUE",33
"12TH ST",136
"12th Ave",6354
"12th Rd",747
"12th St",4179
"13 AVE",983
"13 AVENUE",145
"13 ST",200
"130 AVE",110
"130 AVENUE",12
"130 ST",411
"130 STREET",81
"130th Ave",1571
"130th Rd",17
"130th St",1472
"131 ST",152
"131 STREET",42
"131st Ave",185
"131st St",1349
"132 AVE",69
"132 RD",6
"132 ST",100
"132ND ST",46
"132nd Ave",214
"132nd Rd",81
"132nd St",844
"133 AVE",101
"133 ST",88
"133 STREET",11
"133rd Ave",1049
"133rd Rd",85
"133rd St",928
"134 AVE",68
"134 RD",29
"134 ST",116
"134th Ave",233
"134th Rd",468
"134th St",2614
"135 AVE",82
"135 PL",11
"135 RD",1
"135 ST",141
"135th Ave",299
"135th Pl",160
"135th St",1844
"136 AVE",72
"136 RD",18
"136 ST",88
"136th Ave",177
"136th Rd",72
"136th St",1357
"137  AVE",3
"137 AVE",143
"137 ST",147
"137 STREET",44
"137th Ave",1096
"137th Rd",60
"137th St",977
"138 PL",70
"138th Ave",103
"138th Pl",342
"138th St",3266
"139 ST",130
"139 STREET",55
"139AVE",1
"139th St",2084
"13AVE",78
"13RD ST",3
"13TH AVE",444
"13TH AVENUE",87
"13TH ST",171
"13th Ave",27664
"13th St",3258
"14 AV",13
"14 AVE",586
"14 AVENUE",83
"14 B QUEENS BLVD",2
"14 ST",236
"140 ST",134
"140th Ave",320
"140th St",404
"141st Ave",131
"141st Pl",87
"141st St",4401
"142 ST",66
"142nd Ave",53
"142nd Pl",26
"142nd St",651
"143 ST",90
"143rd Ave",170
"143rd St",1376
"144 AVE",70
"144 ST",75
"144th Ave",313
"144th Pl",444
"144th St",764
"144th Ter",21
"145 AVE",57
"145 RD",29
"145 ROAD",2
"145 ST",81
"145th Ave",478
"145th Dr",144
"145th Pl",69
"145th Rd",132
"145th St",507
"146 RD",11
"146 ST",241
"146 TERR",7
"146th Ave",182
"146th Dr",76
"146th Pl",11
"146th Rd",69
"146th St",3340
"146th Ter",118
"147 DR",21
"147 RD",33
"147 ST",242
"147TH ST",15
"147th Ave",459
"147th Dr",126
"147th Pl",1199
"147th Rd",99
"147th St",2487
"148 AV",2
"148 RD",30
"148 ST",154
"148 STREET",34
"148 TH",1
"148th Ave",972
"148th Dr",172
"148th Pl",35
"148th Rd",312
"148th St",6722
"149 AVE",346
"149 PL",84
"149 RD",53
"149 ST",434
"149 STREET",227
"149TH AVE",32
"149TH AVENUE",4
"149TH ST",11
"149th Ave",3465
"149th Pl",548
"149th Rd",358
"149th St",3842
"14AVE",29
"14TH AVE",267
"14TH AVENUE",83
"14TH ST",122
"14th Ave",9277
"14th Rd",532
"14th St",3164
"15  E 108 ST",2
"15  FR S/E CNR ROCHE",1
"15 AVE",390
"15 ST",163
"150 AVE",56
"150 ST",470
"150 STREET",229
"150TH ST",28
"150th Ave",394
"150th Pl",391
"150th Rd",748
"150th St",7842
"151st Ave",157
"151st Pl",33
"151st St",179
"152nd St",552
"153 AVENUE",8
"153 ST",256
"153rd Ave",149
"153rd Pl",82
"153rd St",6039
"154 PL",1
"154 ST",133
"154th St",628
"155 AVE",9
"155 ST",135
"155th Ave",188
"155th St",1034
"156  ST",1
"156 ST",106
"156th Ave",623
"156th St",1329
"157 ST",109
"157 STREET",17
"157th Ave",377
"157th St",1422
"158 ST",144
"158th Ave",253
"158th St",576
"159 AVE",9
"159 ST",170
"159th Ave",194
"159th Rd",201
"159th St",2193
"15FT W OF S/W C/O",2
"15TH AVE",254
"15TH AVE.",1
"15TH ST",117
"15TH STREET",44
"15th Ave",2423
"15th Dr",60
"15th Rd",81
"15th St",2235
"16 AVE",851
"16 AVENUE",90
"16 ST",88
"160 ST",415
"160th Ave",175
"160th St",7486
"161 ST",397
"161st Ave",428
"161st St",8007
"162 ST",342
"162 STREET",38
"162nd St",10422
"163 ST",219
"163RD ST",8
"163RD STREET",10
"163rd Ave",265
"163rd St",5378
"164 PL",6
"164 ST",353
"164 STREET",106
"164TH ST",39
"164th Ave",60
"164th Pl",239
"164th St",11143
"165 ST",294
"165th St",6564
"166 ST",203
"166 STREET",79
"166th Pl",545
"166th St",843
"167 ST",155
"167th St",1149
"168 PL",43
"168 ST",191
"168 STREET",57
"168TH STREET",2
"168th Pl",2270
"168th St",1496
"169 ST",178
"169 STREET",26
"169th St",1939
"16TH AVE",262
"16TH AVENUE",49
"16TH ST",392
"16th Ave",6000
"16th Rd",95
"16th St",1411
"17 AVE",266
"17 AVENUE",30
"17 ST",50
"170 ST",191
"170th St",1479
"171 ST",130
"171st Pl",74
"171st St",1238
"172 ST",103
"172nd St",1525
"173 ST",166
"173rd St",1181
"174th St",278
"175th St",1838
"176 ST",54
"176TH STREET",2
"176th St",834
"177 STREET",21
"177th St",786
"178 ST",37
"178TH STREET",3
"178th Pl",139
"178th St",984
"179 ST",50
"179th Pl",554
"179th St",1044
"17TH AVE",198
"17TH AVENUE",21
"17th Ave",1749
"17th Rd",108
"17th St",1178
"18 AV",36
"18 AVE",1218
"18 STREET",15
"180 ST",179
"180TH ST",6
"180th St",1459
"181 ST",50
"181st Pl",24
"181st St",711
"182 ST",47
"182 STREET",22
"182nd Pl",248
"182nd St",1020
"183 ST",50
"183rd Pl",36
"183rd St",653
"184 ST",49
"184th Pl",180
"184th St",720
"185 ST",29
"185th St",579
"186 LANE",16
"186 LN",42
"186th Ln",77
"186th St",480
"187th Pl",117
"187th St",390
"188 ST",81
"188TH ST",6
"188th St",1935
"189th St",581
"18AVE",77
"18TH AVE",1476
"18TH AVENUE",391
"18TH RD",62
"18th Ave",15981
"18th St",1652
"19 AVE",207
"19 ST",115
"19 STREET",20
"190 ST",69
"190th Pl",18
"190th St",736
"191st St",528
"192 ST",72
"192nd St",590
"193rd St",633
"194 ST",93
"194th Ln",26
"194th St",385
"195 ST",49
"195th Ln",16
"195th Pl",78
"195th St",425
"196 ST",66
"196th Pl",36
"196th St",404
"197 STREET",6
"197th St",403
"198th St",374
"199 ST",132
"199th St",469
"19TH AVE",102
"19TH AVENUE",28
"19TH ST",62
"19th Ave",2531
"19th Dr",54
"19th Ln",101
"19th Rd",108
"19th St",1644
"1ST AV",63
"1ST AVE",3364
"1ST AVENUE",379
"1ST PL",21
"1ST PLACE",45
"1ST ST",78
"1st Ave",84210
"1st Ct",38
"1st Pl",1449
"1st St",2211
"2 AVE",1516
"2 AVE SERVICE RD",1
"2 AVENUE",134
"2 ST",167
"20  FROM LIBERTY AVE",1
"20 AVE",642
"20 RD",69
"20 ST",56
"200  W 1680 RANDALL",2
"200 FT SOUTH IF",1
"200FT EAST OF 59 ST",2
"200th St",454
"201 ST",93
"201 STREET",13
"201st Pl",64
"201st St",577
"202 ST",61
"202nd St",622
"203 ST",43
"203rd St",520
"204th St",519
"205th Pl",47
"205th St",486
"207 ST",63
"207 STREET",6
"207th St",312
"208 STREET",5
"208th St",600
"209 ST",48
"209 STREET",5
"209th St",392
"20A",1
"20TH AVE",214
"20TH AVENUE",78
"20TH ST",63
"20TH STREET",9
"20th Ave",5430
"20th Dr",67
"20th Ln",220
"20th Rd",666
"20th St",1147
"21 AVE",433
"21 AVENUE",56
"21 ST",380
"210 ST",139
"210TH STREET",1
"210th St",430
"211 ST",73
"211 STREET",16
"211th Pl",34
"211th St",595
"212 ST",101
"212th Pl",136
"212th St",717
"213 ST",82
"213 STREET",21
"213th St",2056
"214 PL",43
"214 ST",50
"214th Pl",312
"214th St",244
"215 PL",36
"215 ST",107
"215th Pl",170
"215th St",606
"216 ST",54
"216th St",242
"217 ST",116
"217th Ln",90
"217th St",1268
"218 ST",74
"218 STREET",5
"218th Pl",68
"218th St",1231
"219th St",1029
"21ST ST",34
"21TH DR",1
"21st Ave",4602
"21st Dr",158
"21st Rd",203
"21st St",4568
"22 AVE",59
"22 ST",105
"220 ST",109
"2200 ROCKAWAY PKWY",8
"2201 HAVILANDRNE",1
"220TH ST",5
"220th Pl",50
"220th St",704
"221 ST",80
"221st St",560
"222 ST",161
"222 STREET",12
"222nd St",720
"223 ST",148
"223rd Pl",77
"223rd St",539
"224 ST",138
"224th St",620
"225 ST",107
"225th St",412
"226 ST",108
"226 STREET",19
"226th St",352
"227 CYPHIESS",1
"227 ST",73
"227ST",1
"227th St",358
"228 ST",148
"228 STREET",13
"228th St",483
"229 DR N",12
"229 DRIVE SOUTH",8
"229 ST",107
"229 STREET",11
"229th St",423
"22ND STREET",8
"22nd Ave",315
"22nd Dr",84
"22nd Rd",67
"22nd St",2451
"23 AVE",584
"23 AVE.",4
"23 AVENUE",86
"23 DRIVE",6
"23 ST",288
"230 PL",34
"230 ST",88
"230 STREET",9
"230th Pl",129
"230th St",372
"231 ST",114
"231st St",373
"232 ST",102
"232nd St",330
"233 ST",136
"233rd St",318
"234 ST",78
"234 STREET",7
"234th St",245
"235 ST",54
"235th Ct",50
"235th St",637
"236 ST",21
"237th St",66
"238th St",85
"239th St",60
"23AVE",30
"23RD",21
"23RD AVE",46
"23RD ST",127
"23rd Ave",6889
"23rd Dr",60
"23rd Rd",383
"23rd St",6064
"23rd Ter",98
"24 AVE",244
"24 AVENUE",23
"240th St",104
"241st St",269
"242",2
"242 ST",93
"242nd St",239
"243 ST",143
"243rd St",1152
"244 ST",23
"244th St",141
"245th St",203
"246 STREET",5
"246th St",238
"247 ST",33
"247th St",288
"248th St",160
"249 ST",41
"249th St",319
"24AVA",1
"24ST 15FT",2
"24TH ST",29
"24th Ave",2408
"24th Dr",31
"24th Rd",163
"24th St",3221
"25 AVE",590
"25 AVENUE",73
"25 DR",24
"25 FT E OF N/E C/O",1
"250 ST",21
"250th St",163
"251st St",184
"252 ST",18
"252nd St",252
"253rd St",201
"254 STREET",3
"254th St",571
"255th St",301
"256 ST",34
"256 STREET",5
"256th St",249
"257 RIIWWIHIC",1
"257 ST",21
"257th St",186
"258th St",166
"259 ST",17
"259th St",150
"25AVE",16
"25RD ST",17
"25TH AVE",37
"25th Ave",1794
"25th Dr",92
"25th Rd",247
"25th St",183
"26 AVE",190
"260th St",272
"261 ST",7
