"V1","V2"
"261st St",147
"262nd St",114
"263rd St",212
"264th St",131
"265th St",119
"266 ST",13
"266th St",229
"267th St",151
"268th St",246
"269th St",160
"26TH AVE",15
"26TH ST",32
"26th Ave",559
"26th St",822
"27 ST",143
"27 STR",1
"270th St",160
"2711 CLAFLIN",1
"271st St",129
"27TH STREET",99
"27th Ave",1347
"27th Rd",66
"27th St",3920
"28 AVE",296
"28 RD",41
"28 ST",163
"28TH AVE",20
"28th Ave",3897
"28th Rd",250
"28th St",2888
"29 ST",336
"29ST",9
"29TH ST",35
"29th Ave",985
"29th Rd",94
"29th St",6974
"2AVE",36
"2FT S/O 37TH ST",1
"2ND AVE",4078
"2ND AVENUE",562
"2ND PLACE",38
"2ND ST",146
"2ND STREET",57
"2nd Ave",88256
"2nd Pl",881
"2nd St",1879
"3 AV",90
"3 AVE",8015
"3 AVE.",3
"3 AVENUE",540
"3 RD AVE",70
"3 ST",186
"30 AVE",462
"30 AVENUE",21
"30 DRIVE",14
"30 FT N/B VERMONT ST",2
"30 PLC",1
"30 RD",24
"30 ST",141
"300 FEET N/O 14",1
"30PL",1
"30TH AVE",81
"30TH AVENUE",7
"30th Ave",19563
"30th Dr",1258
"30th Pl",49
"30th Rd",982
"30th St",7337
"31  RD",1
"31 AVE",1337
"31 AVENUE",29
"31 RD",55
"31 ST",334
"31 STREET",119
"310 BEVERW RD",1
"31AVE",53
"31RD",2
"31RD ST",7
"31st Ave",8625
"31st Dr",863
"31st Pl",373
"31st Rd",640
"31st St",18053
"32 AVE",435
"32 AVENUE",23
"32 AVEUE",1
"32 ST",164
"32 STREET",33
"32AVE",28
"32ND ST",125
"32nd Ave",2666
"32nd Pl",844
"32nd Rd",19
"32nd St",6025
"33",4
"33 AVE",457
"33 RD",9
"33 RD ST",6
"33 ST",421
"33 STREET",49
"33AVE",28
"33RD ST",152
"33RD STR",1
"33rd Ave",1751
"33rd Rd",483
"33rd St",9991
"34",11
"34 AV E 41 STREET",1
"34 AVE",805
"34 AVENUE",51
"34 RD",42
"34 ST",337
"34 STREET",37
"34AVE",41
"34TH AVE",80
"34TH ST",28
"34TH STREET",18
"34th Ave",9140
"34th Rd",389
"34th St",6851
"35 AVE",1043
"35 AVENUE",44
"35 ST",257
"35TH AV",3
"35TH AVE",81
"35TH ST",183
"35th Ave",9555
"35th Rd",66
"35th St",7326
"36 AVE",161
"36 AVENUE",17
"36 ST",547
"36 STREET",54
"36th Ave",7166
"36th Rd",1281
"36th St",8190
"37 AVE",1790
"37 AVENUE",107
"37 DR",57
"37 DRIVE",20
"37 RD",36
"37 ST",416
"37 STREET",65
"37AVE",116
"37ST",10
"37TH AVE",148
"37TH RD",3
"37TH STREET",42
"37th Ave",46012
"37th Dr",249
"37th Rd",2324
"37th St",9957
"38 AVE",470
"38 AVENUE",30
"38 ST",649
"38 STREET",65
"38TH ST",42
"38TH STREET",15
"38th Ave",8757
"38th St",13657
"39 AV",11
"39 AVE",545
"39 DR",16
"39 PL",39
"39 ST",409
"39RD ST",5
"39RTD ST",1
"39TH AVE",53
"39TH ST",126
"39th Ave",15981
"39th Pl",794
"39th Rd",87
"39th St",4976
"3AVE",399
"3RD AE",31
"3RD AV",151
"3RD AVE",10775
"3RD AVE BX",7
"3RD AVENUE",1932
"3RD ST",268
"3RD STREET",45
"3RDAVE",17
"3TH AVE",94
"3rd Ave",177066
"3rd Pl",553
"3rd St",2005
"4 AVE",1046
"4 AVENUE",382
"4 ST",142
"40 RD",167
"40 ROAD",15
"40 ST",374
"40 TH DR",1
"400FT C/O HENRY HUD",1
"40AVE",7
"40FEET FRM 157 ST",1
"40TH AVE",7
"40TH RD",89
"40TH ST",93
"40TH STREET",42
"40th Ave",2570
"40th Rd",5041
"40th St",3907
"41",9
"41 AVE",1354
"41 AVENUE",258
"41 RD",58
"41 ST",931
"41 ST AVE",39
"41 ST STREET",4
"41AVE",40
"41ST AVE",80
"41ST ST",35
"41st Ave",15354
"41st Dr",54
"41st Rd",2837
"41st St",11634
"42 AVE",238
"42 RD",91
"42 ST",573
"42 STREET",105
"42 W 72ND",1
"42ND",14
"42ND AVE",15
"42ND ST",98
"42ST",10
"42nd Ave",2941
"42nd Rd",526
"42nd St",7204
"43 AVE",896
"43 ST",392
"43AVE",29
"43RD  ST",2
"43RD AVE",65
"43RD ST",176
"43RD STREET",36
"43rd Ave",8841
"43rd Rd",656
"43rd St",8604
"44 AVE",90
"44 DR",50
"44 RD",17
"44 ST",670
"44 STREET",58
"44ST",10
"44TH DRIVE",19
"44TH ST",161
"44th Ave",2024
"44th Dr",3603
"44th Rd",1613
"44th St",8355
"45",8
"45 AVE",278
"45 ST",611
"45 STREET",61
"45ST",8
"45TH ST",109
"45TH STREET",22
"45th Ave",4790
"45th Dr",338
"45th Rd",913
"45th St",8827
"46",4
"46 AVE",155
"46 ST",525
"46 STREET",69
"46TH ST",106
"46th Ave",2696
"46th Rd",961
"46th St",8290
"47",4
"47 AVE",608
"47 AVENUE",12
"47 RD",39
"47 ST",484
"47 STREET",99
"47RD",3
"47TH AVE",82
"47TH ST",98
"47TH STREET",52
"47th Ave",4594
"47th Rd",2023
"47th St",8938
"48 AVE",250
"48 ST",503
"48 STREET",71
"48TH ST",94
"48th Ave",3767
"48th St",6940
"49 AVE",84
"49 ST",438
"49 STREET",70
"49TH ST",115
"49TH STREET",41
"49th Ave",1091
"49th Pl",288
"49th St",6427
"4AVE",69
"4TH AVE",2307
"4TH AVENUE",292
"4TH PL",31
"4TH PLACE",40
"4TH ST",196
"4TH STREET",33
"4th Ave",14450
"4th Pl",380
"4th St",1633
"5  N/O 151 ST",1
"5 A",1
"5 AV",74
"5 AVE",6870
"5 AVENUE",500
"5 ST",111
"5 TH AVE",33
"50  S/O 112 ST",1
"50 AVE",164
"50 FROM 70TH ROAD",1
"50 FT FROM I/O 29TH",1
"50 ST",786
"50 STREET",118
"50FT FROM I/O EAST N",1
"50FT W ON ROBERT WAG",1
"50TH ST",211
"50th Ave",2815
"50th St",6591
"51 AT",1
"51 AVE",341
"51 IO AIIJDXINY",1
"51 RD",42
"51 ST",522
"51 STREET",132
"51ST ST",90
"51st Ave",3904
"51st Rd",114
"51st St",5266
"52 AVE",195
"52 AVENUE",8
"52 RD",12
"52 ST",427
"52ND SRT",1
"52ND ST",132
"52ND STREET",15
"52nd Ave",839
"52nd Dr",44
"52nd St",4313
"53  AVE",3
"53 AVE",205
"53 DR",15
"53 ST",442
"53 STREET",98
"53RD",5
"53RD AVE",8
"53RD ST",190
"53rd Ave",1021
"53rd Dr",149
"53rd Pl",161
"53rd Rd",206
"53rd St",4500
"54",3
"54 AVE",122
"54 ST",397
"54 STREET",40
"54TH AVE",18
"54TH ST",142
"54th Ave",1419
"54th Pl",106
"54th Rd",194
"54th St",4601
"55  STREET",1
"55 AVE",118
"55 ST",410
"55 STREET",89
"55TH AVE",27
"55th Ave",4096
"55th Dr",391
"55th Rd",132
"55th St",3409
"56 AVE",370
"56 DRIVE",9
"56 RD",27
"56 ST",454
"56RD ST",18
"56TH ST",214
"56TH STREET",35
"56th Ave",2786
"56th Dr",504
"56th Pl",45
"56th Rd",663
"56th St",5425
"56th Ter",41
"57 AVE",644
"57 AVENUE",237
"57 DR",34
"57 ST",469
"57 STREET",91
"57AVE",27
"57RD ST",15
"57ST",12
"57TH",7
"57TH AVE",59
"57TH AVENUE",8
"57TH ST",168
"57TH STREET",22
"57th Ave",3343
"57th Dr",145
"57th Rd",836
"57th St",4584
"58 AVE",140
"58 AVENUE",22
"58 RD",115
"58 ST",622
"58 STREET",167
"58AVE",3
"58TH RD PKG LOT IN",1
"58TH ST",208
"58TH STREET",58
"58th Ave",1285
"58th Dr",42
"58th Ln",110
"58th Pl",156
"58th Rd",553
"58th St",3450
"59 AVE",265
"59 AVENUE",29
"59 ST",571
"59 STREET",65
"59ST",11
"59TH",3
"59TH ST",102
"59th Ave",1050
"59th Dr",133
"59th Pl",179
"59th Rd",66
"59th St",3028
"5AVE",359
"5TH",118
"5TH AV",62
"5TH AVE",7538
"5TH AVENUE",685
"5TH ST",175
"5TH STREET",35
"5THA VE",8
"5th Ave",118780
"5th St",3441
"6",12
"6 AVE",2620
"6 AVENUE",144
"6 ST",189
"60 PL",65
"60 RD",108
"60 ST",829
"60 STREET",105
"60FT F/O 1372 77 ST",1
"60FT W/O 7 AVE",1
"60RD ST",13
"60TH AVE",38
"60TH ST",253
"60th Ave",1137
"60th Dr",228
"60th Ln",1486
"60th Pl",628
"60th Rd",231
"60th St",3702
"61 AVE",54
"61 ST",691
"61 ST STREET",35
"61 STREET",98
"61ST ST",80
"61st Rd",252
"61st St",5948
"62 AVE",96
"62 AVENUE",55
"62 DR",239
"62 DRIVE",154
"62 RD",107
"62 ROAD",33
"62 ST",478
"62 STREET",122
"62ND ST",210
"62ND STREET",91
"62nd Ave",1373
"62nd Dr",1810
"62nd Rd",749
"62nd St",3846
"63  AVE",3
"63 AVE",121
"63 AVENUE",30
"63 DR",89
"63 DRIVE",95
"63 RD",280
"63 ROAD",100
"63 ST",348
"63 STREET",85
"63RD ST",69
"63RD STREET",49
"63rd Ave",1609
"63rd Dr",4677
"63rd Pl",12
"63rd Rd",4734
"63rd St",4270
"64",2
"64 AVE",168
"64 AVENUE",19
"64 LANE",17
"64 PLACE",42
"64 ROAD",24
"64 ST",473
"64 STREET",125
"64TH ST",56
"64th Ave",3195
"64th Cir",65
"64th Ln",183
"64th Pl",457
"64th Rd",2791
"64th St",4812
"65 AVE",135
"65 AVENUE",22
"65 LA",2
"65 PL",174
"65 ST",663
"65 TH ST",5
"65TH STREET",93
"65th Ave",2337
"65th Cres",64
"65th Dr",43
"65th Pl",974
"65th Rd",1046
"65th St",5098
"66 AVE",91
"66 RD",69
"66 ST",304
"66 STREET",76
"66AVE",9
"66th Ave",1659
"66th Dr",97
"66th Pl",340
"66th Rd",1133
"66th St",3869
"67 AVE",192
"67 AVENUE",49
"67 DR",84
"67 DRIVE",54
"67 RD",113
"67 ST",319
"67 STREET",137
"67TH AVE",31
"67th Ave",2692
"67th Dr",1071
"67th Pl",448
"67th Rd",1357
"67th St",3398
"68 AVE",226
"68 AVENUE",54
"68 PL",18
"68 RD",63
"68 ST",289
"68 STREET",98
"68TH",2
"68TH ST",66
"68th Ave",2369
"68th Dr",1310
"68th Pl",288
"68th Rd",1486
"68th St",3174
"69 AVE",168
"69 LANE",12
"69 PL",163
"69 RD",70
"69 ST",297
"69 STREET",66
"69AVE",13
"69TH RD",2
"69th Ave",2894
"69th Ln",489
"69th Pl",1465
"69th Rd",1405
"69th St",3244
"6AV",1
"6TH AV",51
"6TH AVE",2945
"6TH AVENUE",239
"6TH AVER",1
"6TH ST",218
"6th Ave",58864
"6th St",1978
"7 AVE",4232
"7 AVE S",170
"7 AVENUE",262
"7 ST",259
"7 TH AVE",59
"70 AVE",139
"70 DR",3
"70 RD",88
"70 ST",343
"70 STREET",119
"70TH ST",36
"70th Ave",3828
"70th Rd",5782
"70th St",3285
"71 AVE",226
"71 CRES",43
"71 ST",328
"71 ST ST",10
"71 STREET",83
"71ST ST",10
"71ST STREET",29
"71st Ave",10490
"71st Cres",103
"71st Dr",61
"71st Pl",123
"71st Rd",5082
"71st St",3582
"72 AVE",92
"72 PL",34
"72 ROAD",14
"72 ST",393
"72 STREET",119
"72ND AVENUE",3
"72ND ST",80
"72ND STREET",103
"72RD",9
"72nd Ave",3227
"72nd Dr",844
"72nd Pl",227
"72nd Rd",2812
"72nd St",4580
"72nd St Transverse",3
"73 AVE",205
"73 PL",55
"73 PLACE",36
"73 RD AVE",1
"73 RD ST",4
"73 ST",339
"73 STREET",91
"73RD ST",105
"73RD STREET",112
"73rd Ave",2007
"73rd Pl",382
"73rd Rd",1435
"73rd St",5550
"73rd Ter",101
"74 AV",2
"74 PL",15
"74 S",1
"74 ST",429
"74 STREET",121
"74TH ST",91
"74TH STREET",47
"74th Ave",548
"74th Pl",44
"74th St",10051
"75 AVE",131
"75 RD",40
"75 ST",292
"75 STREET",160
"75th Ave",2455
"75th Pl",26
"75th Rd",1226
"75th St",3967
"76 AV",7
"76 AVE",356
"76 DR",28
"76 ST",528
"76 STREET",112
"760 BROADWAY",5
"76TH ST",40
"76TH STREET",103
"76th Ave",2672
"76th Dr",185
"76th Rd",2390
"76th St",7543
"77 AE",1
"77 AVE",138
"77 RD",101
"77 ST",611
"77 STREET",99
"77TH RD",33
"77TH STREET",106
"77th Ave",3607
"77th Cres",92
"77th Rd",1089
"77th St",6077
"78 AVE",106
"78 RD",54
"78 ST",735
"78 STREET",132
"78 W 36 ST",2
"78TH ST",70
"78th Ave",3605
"78th Cres",804
"78th Dr",74
"78th Rd",902
"78th St",6799
"79 AVE",58
"79 PL",19
"79 ST",523
"79 STREET",123
"79TH ST",56
"79TH STREET",45
"79th Ave",1012
"79th Pl",121
"79th St",6527
"7AVE",165
"7TH",88
"7TH AV",186
"7TH AVE",6671
"7TH AVE SOUTH",14
"7TH AVENUE",424
"7TH ST",163
"7th Ave",73161
"7th Ave S",4006
"7th St",1695
"8 AVE",5464
"8 AVENUE",506
"8 ST",177
"8 STREET",15
"8 TH AVE",35
"80 AVE",43
"80 ST",583
"80TH ST",67
"80TH STREET",33
"80th Ave",262
"80th Dr",40
"80th Rd",906
"80th St",6993
"81 AVE",42
"81 RD",7
"81 ST",689
"81 STREET",112
"81ST ST",25
"81ST STREET",32
"81st Ave",740
"81st Rd",46
"81st St",7232
"82 AVENUE",7
"82 RD",19
"82 ST",514
"82AVE",4
"82ND AVE",96
"82ND ST",68
"82nd Ave",1582
"82nd Dr",361
"82nd Pl",58
"82nd Rd",2146
"82nd St",14241
"83 AVE",94
"83 ST",1011
"83 STREET",191
"83RD STREET",16
"83rd Ave",2899
"83rd Dr",169
"83rd Pl",47
"83rd St",8007
"84 AVE",80
"84 DR",75
"84 ST",569
"84 STREET",128
"84TH ST",57
"84th Ave",1425
"84th Dr",2011
"84th Pl",57
"84th Rd",775
"84th St",6702
"85 AVE",128
"85 RD",59
"85 ST",648
"85 STREET",103
