"V1","V2"
"FORD","2789"
"TOYOT","1810"
"HONDA","4516"
"NISSA","18176"
"CHEVR","2516"
"FRUEH","6974"
"ME/BE","33165"
"BMW","14947"
"DODGE","7141"
"JEEP","14251"
"HYUND","3810"
"GMC","1876"
"LEXUS","9972"
"INTER","4340"
"ACURA","3648"
"CHRYS","6373"
"VOLKS","11420"
"INFIN","2281"
"SUBAR","19051"
"AUDI","2822"
