"V1","V2"
"AL","175"
"AZ","96"
"AR","505"
"CA","492"
"CO","81"
"CT","3089"
"DE","354"
"FL","2604"
"GA","735"
"ID","142"
"IL","121"
"IN","863"
"IA","1884"
"KS","75"
"KY","89"
"LA","97"
"ME","1954"
"MD","1135"
"MA","507"
"MI","381"
"MN","444"
"MS","93"
"MO","118"
"MT","51"
"NE","1001"
"NV","26"
"NH","40"
"NJ","229"
"NM","21208"
"NY","96"
"NC","70"
"ND","182064"
"OH","587"
"OK","506"
"OR","138"
"PA","5305"
"RI","301"
"SC","433"
"SD","64"
"TN","453"
"TX","706"
"UT","75"
"VT","1479"
"VA","179"
"WA","157"
"WV","136"
"WI","47"
"WY","29"
