"V1","V2"
"FORD","2539"
"TOYOT","1649"
"HONDA","4103"
"NISSA","15958"
"CHEVR","2338"
"FRUEH","5666"
"ME/BE","28348"
"BMW","10572"
"DODGE","7284"
"JEEP","12920"
"HYUND","2961"
"GMC","1745"
"LEXUS","9884"
"INTER","3637"
"ACURA","3205"
"CHRYS","4933"
"VOLKS","9219"
"INFIN","1787"
"SUBAR","14528"
"AUDI","2523"
